"predvar","matRRfit","matRRlow","matRRhigh","allRRfit","knots"
-2.6,1.04240671167278,1.02525623672903,1.05984407957094,1.04240671167278,NA
-2.5,1.04209339925971,1.02519248492741,1.05927293532349,1.04209339925971,NA
-2.4,1.04176641307008,1.02509634538267,1.05870756860007,1.04176641307008,NA
-2.3,1.04142576603585,1.02496859655377,1.05814717622567,1.04142576603585,NA
-2.2,1.04107147162632,1.02481007065578,1.05759090398151,1.04107147162632,NA
-2.1,1.04070354384733,1.02462164763886,1.05703785262805,1.04070354384733,NA
-2,1.04032199724027,1.02440424842983,1.05648708466493,1.04032199724027,NA
-1.9,1.03992684688116,1.02415882760694,1.05593763165731,1.03992684688116,NA
-1.8,1.03951810837964,1.02388636569253,1.05538850194406,1.03951810837964,NA
-1.7,1.03909579787795,1.02358786125252,1.05483868853857,1.03909579787795,NA
-1.6,1.03865993204986,1.02326432298658,1.05428717703859,1.03865993204986,NA
-1.5,1.03821052809958,1.02291676197935,1.05373295337453,1.03821052809958,NA
-1.4,1.03774760376063,1.02254618426285,1.05317501124634,1.03774760376063,NA
-1.3,1.03727117729466,1.02215358381473,1.05261235912398,1.03727117729466,NA
-1.2,1.03678126749027,1.02173993608937,1.05204402671475,1.03678126749027,NA
-1.1,1.03627789366176,1.02130619214963,1.05146907082957,1.03627789366176,NA
-1,1.03576107564786,1.0208532734392,1.0508865806082,1.03576107564786,NA
-0.9,1.03523083381044,1.02038206720968,1.05029568208947,1.03523083381044,NA
-0.800000000000001,1.03468718903315,1.0198934225936,1.04969554213502,1.03468718903315,NA
-0.7,1.03413016272008,1.0193881472961,1.0490853717341,1.03413016272008,NA
-0.600000000000001,1.03355977679434,1.01886700486275,1.04846442873187,1.03355977679434,NA
-0.5,1.03297605369661,1.01833071247007,1.04783202003445,1.03297605369661,NA
-0.4,1.03237901638369,1.01777993917815,1.04718750335164,1.03237901638369,NA
-0.300000000000001,1.03176868832697,1.01721530458022,1.04653028854227,1.03176868832697,NA
-0.2,1.03114509351092,1.01663737778299,1.04585983862833,1.03114509351092,NA
-0.100000000000001,1.03050825643151,1.01604667665189,1.04517567054388,1.03050825643151,NA
0,1.0298582020946,1.01544366725816,1.04447735568169,1.0298582020946,NA
0.0999999999999996,1.0291949560143,1.01482876346801,1.04376452029748,1.0291949560143,NA
0.199999999999999,1.02851854421131,1.01420232661874,1.04303684582675,1.02851854421131,NA
0.3,1.02782899321122,1.01356466523174,1.04229406916435,1.02782899321122,NA
0.399999999999999,1.02712633004278,1.01291603471767,1.04153598295164,1.02712633004278,NA
0.5,1.0264105822361,1.01225663703439,1.04076243591027,1.0264105822361,NA
0.6,1.02568177782091,1.01158662026442,1.0399733332563,1.02568177782091,NA
0.699999999999999,1.02493994532469,1.01090607808381,1.03916863722239,1.02493994532469,NA
0.8,1.02418511377081,1.0102150491007,1.03834836770994,1.02418511377081,NA
0.899999999999999,1.02341731267665,1.00951351604787,1.03751260308696,1.02341731267665,NA
1,1.02263657205169,1.00880140482012,1.03666148114068,1.02263657205169,NA
1.1,1.02184292239551,1.00807858335459,1.03579520018681,1.02184292239551,NA
1.2,1.02103639469586,1.00734486036032,1.03491402032927,1.02103639469586,NA
1.3,1.0202170204266,1.00659998391228,1.03401826485508,1.0202170204266,NA
1.4,1.01938604114741,1.00584462005844,1.03310976682045,1.01938604114741,NA
1.5,1.01856025470742,1.00509215349088,1.0322088266895,1.01856025470742,NA
1.6,1.01774501501122,1.00434704536482,1.03132171330672,1.01774501501122,NA
1.7,1.01694029779881,1.00360944161308,1.03044822657799,1.01694029779881,NA
1.8,1.01614607913576,1.00287948636372,1.02958816904994,1.01614607913576,NA
1.9,1.01536233541201,1.00215732159548,1.0287413462509,1.01536233541201,NA
2,1.01458904334072,1.00144308681046,1.02790756701472,1.01458904334072,NA
2.1,1.0138261799571,1.00073691872498,1.02708664378642,1.0138261799571,NA
2.2,1.01307372261724,1.00003895097921,1.02627839290922,1.01307372261724,NA
2.3,1.01233164899708,0.999349313865804,1.02548263489253,1.01233164899708,NA
2.4,1.01159993709122,0.998668134077753,1.02469919466088,1.01159993709122,NA
2.5,1.01087856521186,0.99799553447521,1.02392790178378,1.01087856521186,NA
2.6,1.01016751198774,0.99733163387101,1.02316859068714,1.01016751198774,NA
2.7,1.0094667563631,0.996676546834297,1.02242110084653,1.0094667563631,NA
2.8,1.00877627759659,0.996030383511596,1.02168527696302,1.00877627759659,NA
