"blup_predvar","blup_matRRfit","arron","first_stage_predvar","first_stage_blup_matRRfit"
20.4,1.0047225910026,"Aalst",20.4,1.0016701580417
20.5,1.00616988861641,"Aalst",20.5,1.00310949173001
20.6,1.00786020420509,"Aalst",20.6,1.00481272278839
20.7,1.0097947550529,"Aalst",20.7,1.00678118792595
20.8,1.01197493599433,"Aalst",20.8,1.00901643388441
20.9,1.01440232109031,"Aalst",20.9,1.01152021946381
21,1.01707866552251,"Aalst",21,1.01429451782928
21.1,1.02000590770859,"Aalst",21.1,1.01734151910278
21.2,1.02318617164226,"Aalst",21.2,1.02066363324491
21.3,1.02662176946196,"Aalst",21.3,1.02426349323183
21.4,1.03031520425251,"Aalst",21.4,1.02814395853329
21.5,1.03426917308454,"Aalst",21.5,1.03230811889823
21.6,1.03848657029686,"Aalst",21.6,1.03675929845485
21.7,1.04297049102729,"Aalst",21.7,1.04150106013286
21.8,1.04772423499803,"Aalst",21.8,1.0465372104161
21.9,1.05275131056214,"Aalst",21.9,1.05187180443442
22,1.05805543901786,"Aalst",22,1.0575091514044
22.1,1.06364055919843,"Aalst",22.1,1.06345382042899
22.2,1.06951083234514,"Aalst",22.2,1.06971064666716
22.3,1.07567064727222,"Aalst",22.3,1.07628473788513
22.4,1.08212462583237,"Aalst",22.4,1.08318148140161
22.5,1.08887762869262,"Aalst",22.5,1.09040655144022
22.6,1.09593476143046,"Aalst",22.6,1.0979659169033
22.7,1.10330138096103,"Aalst",22.7,1.10586584958174
22.8,1.11098310230676,"Aalst",22.8,1.11411293281683
22.9,1.11898580572119,"Aalst",22.9,1.12271407063088
23,1.12731564417984,"Aalst",23,1.13167649734405
23.1,1.13597905125138,"Aalst",23.1,1.14100778769649
23.2,1.14498274936315,"Aalst",23.2,1.1507158674952
23.3,1.15433375847591,"Aalst",23.3,1.16080902480693
23.4,1.16403940518344,"Aalst",23.4,1.17129592171876
23.5,1.17410733225348,"Aalst",23.5,1.18218560669
23.6,1.18454550862736,"Aalst",23.6,1.19348752751994
23.7,1.19536223989659,"Aalst",23.7,1.20521154495716
23.8,1.20656617927556,"Aalst",23.8,1.21736794697813
23.9,1.21816633909071,"Aalst",23.9,1.22996746376357
24,1.23017210280738,"Aalst",24,1.24302128340319
24.1,1.24259323761661,"Aalst",24.1,1.25654106836084
24.2,1.25543990760567,"Aalst",24.2,1.27053897273368
24.3,1.26872268753682,"Aalst",24.3,1.28502766034106
24.4,1.28245257726041,"Aalst",24.4,1.30002032368059
24.5,1.29664101678977,"Aalst",24.5,1.31553070379075
24.6,1.31129990206636,"Aalst",24.6,1.3315731110618
24.7,1.32644160144579,"Aalst",24.7,1.34816244703866
24.8,1.34207897293603,"Aalst",24.8,1.36531422726191
24.9,1.35822538222158,"Aalst",24.9,1.38304460519564
25,1.37489472150844,"Aalst",25,1.40137039729316
25.1,1.39210142922683,"Aalst",25.1,1.42030910925464
25.2,1.40986051063048,"Aalst",25.2,1.43987896353351
-6.8,0.926755304873716,"Antwerpen",-6.8,0.919521223770292
-6.7,0.929594256292428,"Antwerpen",-6.7,0.922504483318266
-6.6,0.932398083946385,"Antwerpen",-6.6,0.925451928853197
-6.5,0.935166417964932,"Antwerpen",-6.5,0.928363155721593
-6.4,0.937898892382116,"Antwerpen",-6.4,0.931237763336489
-6.3,0.940595145217168,"Antwerpen",-6.3,0.934075355269125
-6.2,0.943254818554299,"Antwerpen",-6.2,0.936875539339888
-6.1,0.945877558621759,"Antwerpen",-6.1,0.939637927708483
-6,0.94846301587015,"Antwerpen",-6,0.942362136963317
-5.9,0.951010845049968,"Antwerpen",-5.9,0.945047788210048
-5.8,0.953520705288341,"Antwerpen",-5.8,0.947694507159288
-5.7,0.955992260164953,"Antwerpen",-5.7,0.950301924213427
-5.6,0.958425177787113,"Antwerpen",-5.6,0.952869674552536
-5.5,0.960819130863964,"Antwerpen",-5.5,0.955397398219349
-5.4,0.963173796779796,"Antwerpen",-5.4,0.957884740203264
-5.3,0.965488857666442,"Antwerpen",-5.3,0.960331350523363
-5.2,0.967764000474738,"Antwerpen",-5.2,0.962736884310408
-5.1,0.969998917045028,"Antwerpen",-5.1,0.965101001887789
-5,0.972193304176676,"Antwerpen",-5,0.967423368851401
-4.9,0.97434686369658,"Antwerpen",-4.9,0.969703656148425
-4.8,0.976459302526661,"Antwerpen",-4.8,0.971941540154975
-4.7,0.978530332750303,"Antwerpen",-4.7,0.974136702752601
-4.6,0.980559671677722,"Antwerpen",-4.6,0.976288831403616
-4.5,0.982547041910248,"Antwerpen",-4.5,0.978397619225218
-4.4,0.984492171403499,"Antwerpen",-4.4,0.98046276506239
-4.3,0.98639479352942,"Antwerpen",-4.3,0.982483973559543
-4.2,0.988254647137179,"Antwerpen",-4.2,0.984460955230897
-4.1,0.99007147661289,"Antwerpen",-4.1,0.986393426529553
-4,0.991845031938143,"Antwerpen",-4,0.988281109915253
-3.9,0.99357506874734,"Antwerpen",-3.9,0.99012373392079
-3.8,0.995261348383792,"Antwerpen",-3.8,0.991921033217058
-3.7,0.996903637954579,"Antwerpen",-3.7,0.993672748676714
-3.6,0.99850171038415,"Antwerpen",-3.6,0.995378627436428
-3.5,1.00005534446664,"Antwerpen",-3.5,0.997038422957711
-3.4,1.00156432491691,"Antwerpen",-3.4,0.99865189508628
-3.3,1.00302844242021,"Antwerpen",-3.3,1.00021881010997
-3.2,1.00444749368065,"Antwerpen",-3.2,1.00173894081515
-3.1,1.00582128146815,"Antwerpen",-3.1,1.0032120665416
-3,1.0071496146642,"Antwerpen",-3,1.00463797323594
-2.9,1.00843230830609,"Antwerpen",-2.9,1.00601645350343
-2.8,1.00966918362992,"Antwerpen",-2.8,1.00734730665822
-2.7,1.01086006811206,"Antwerpen",-2.7,1.00863033877211
-2.6,1.01200479550926,"Antwerpen",-2.6,1.00986536272156
-2.5,1.01310320589734,"Antwerpen",-2.5,1.01105219823322
-2.4,1.01415514570843,"Antwerpen",-2.4,1.01219067192781
-2.3,1.01516046776675,"Antwerpen",-2.3,1.01328061736226
-2.2,1.01611903132291,"Antwerpen",-2.2,1.01432187507032
-2.1,1.01703070208674,"Antwerpen",-2.1,1.01531429260142
-2,1.01789535225872,"Antwerpen",-2,1.01625772455788
-1.9,1.01871286055974,"Antwerpen",-1.9,1.0171520326304
-1.8,1.01948311225952,"Antwerpen",-1.8,1.01799708563188
-1.7,1.0202059992034,"Antwerpen",-1.7,1.01879275952944
-1.6,1.02088141983769,"Antwerpen",-1.6,1.01953893747482
-1.5,1.02150927923342,"Antwerpen",-1.5,1.02023550983295
-1.4,1.02208948910859,"Antwerpen",-1.4,1.02088237420878
-1.3,1.02262196784885,"Antwerpen",-1.3,1.02147943547242
-1.2,1.02310664052664,"Antwerpen",-1.2,1.02202660578237
-1.1,1.02354343891874,"Antwerpen",-1.1,1.02252380460717
-1,1.02393230152232,"Antwerpen",-1,1.02297095874505
-0.9,1.02427317356933,"Antwerpen",-0.9,1.02336800234196
-0.800000000000001,1.02456600703937,"Antwerpen",-0.800000000000001,1.0237148769077
-0.7,1.02481076067098,"Antwerpen",-0.7,1.02401153133029
-0.600000000000001,1.02500739997131,"Antwerpen",-0.600000000000001,1.02425792188853
-0.5,1.02515589722422,"Antwerpen",-0.5,1.02445401226272
-0.4,1.0252562314968,"Antwerpen",-0.4,1.02459977354362
-0.300000000000001,1.02530838864431,"Antwerpen",-0.300000000000001,1.0246951842395
-0.2,1.02531236131344,"Antwerpen",-0.2,1.02474023028146
-0.100000000000001,1.02526814894412,"Antwerpen",-0.100000000000001,1.02473490502688
0,1.02517575776957,"Antwerpen",0,1.02467920926105
0.0999999999999996,1.02503520081491,"Antwerpen",0.0999999999999996,1.02457315119697
0.199999999999999,1.02484649789404,"Antwerpen",0.199999999999999,1.02441674647335
